fix_ut_type_field, basic@004031b0, 004031b0, 004031b3
fix_ut_type_field, basic@004030fc, 004030fc, 00403100
fix_ut_type_field, basic@00403138, 00403138, 0040313c
fix_ut_type_field, basic@0040313e, 0040313e, 00403140
fix_ut_type_field, basic@004030a1, 004030a1, 004030b7
fix_ut_type_field, basic@004030ba, 004030ba, 004030ba
fix_ut_type_field, basic@004030ba, 004030ba, 004030ba
fix_ut_type_field, basic@004030bc, 004030bc, 004030c1
fix_ut_type_field, basic@004030c7, 004030c7, 004030d6
fix_ut_type_field, basic@004031ec, 004031ec, 004031f2
fix_ut_type_field, basic@00403105, 00403105, 00403117
fix_ut_type_field, basic@00403130, 00403130, 00403132
fix_ut_type_field, basic@00403119, 00403119, 0040311d
fix_ut_type_field, basic@00403200, 00403200, 0040320f
fix_ut_type_field, basic@00403123, 00403123, 00403132
bad_utmp_record, basic@00403290, 00403290, 00403292
xmalloc, basic@004032a0, 004032a0, 004032ac
xmalloc, basic@004032ae, 004032ae, 004032b1
xmalloc, basic@004032b5, 004032b5, 004032b5
xmalloc, basic@004032b3, 004032b3, 004032b4
xrealloc, basic@004032c0, 004032c0, 004032cc
xrealloc, basic@004032ce, 004032ce, 004032d1
xrealloc, basic@004032d5, 004032d5, 004032d5
xrealloc, basic@004032d3, 004032d3, 004032d4
x2realloc, basic@004032e0, 004032e0, 004032e6
x2realloc, basic@00403310, 00403310, 00403318
x2realloc, basic@00403318, 00403318, 00403318
x2realloc, basic@0040331c, 0040331c, 00403322
x2realloc, basic@004032e8, 004032e8, 004032f5
x2realloc, basic@00403327, 00403327, 00403328
x2realloc, basic@004032f7, 004032f7, 00403307
xzalloc, basic@00403330, 00403330, 00403342
xcalloc, basic@00403350, 00403350, 0040335c
xcalloc, basic@00403363, 00403363, 00403363
xcalloc, basic@0040335e, 0040335e, 00403362
xmemdup, basic@00403370, 00403370, 00403393
xstrdup, basic@004033a0, 004033a0, 004033b1
xalloc_die, basic@004033c0, 004033c0, 004033e4
__libc_csu_init, basic@004033f0, 004033f0, 00403428
__libc_csu_init, basic@00403430, 00403430, 00403444
__libc_csu_init, basic@00403446, 00403446, 00403454
__libc_csu_fini, basic@00403460, 00403460, 00403460
_fini, basic@00403464, 00403464, 0040346c
